Name,Pulse Dye,Chase Dye,Counterstain,Tissue,Orientation,Species,Mouse Strain or transgenic,Sex,Virus,Date,Microscope,Imaging Method,Objective,Exciters,Emitters,DAPI (blue),FITC (green),CY3 (orange),CY5 (magenta),Description
JFx673_Liver_20250530_Slide_6_of_4_Region_004_channels.zarr,JFx673-HTL,JF552-HTL,DAPI,Liver,Cross section of left lobe,Mouse,MECP2.HaloTag 2D6,M,,20250530,TissueGnostics TGXS Slide Scanner (upright),Widefield,20x,"Lumencor Spectra X LED light engine with DAPI BP filter: 390/22, Cy3 BP filter: 542/33, and Cy5 BP filter: 648/28","DAPI: FF02-447/60, Cy3: FF01-593/40, Cy5: FF01-692/40 ",DAPI,,JF552-HTL,JFx673-HTL,Widefield image using a 20x objective of a 50um cross (cryo)section of the liver from a MECP2.HaloTag 2D6 transgenic mouse pulsed using retro-orbital injection with JFx673-HTL then perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. 
JFx673_Lung_20250530_Slide_7_of_4_Region_004_channels.zarr,JFx673-HTL,JF552-HTL,DAPI,Lung,Cross section including bronchi ~3mm deep into the lung,Mouse,MECP2.HaloTag 2D6,M,,20250530,TissueGnostics TGXS Slide Scanner (upright),Widefield,20x,"Lumencor Spectra X LED light engine with DAPI BP filter: 390/22, Cy3 BP filter: 542/33, and Cy5 BP filter: 648/28","DAPI: FF02-447/60, Cy3: FF01-593/40, Cy5: FF01-692/40 ",DAPI,,JF552-HTL,JFx673-HTL,Widefield image using a 20x objective of a 50um cross (cryo)section of the lung including bronchi from a MECP2.HaloTag 2D6 transgenic mouse pulsed using retro-orbital injection with JFx673-HTL then perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. 
JFx673_Nodoseganglia_20250530_Slide_8_of_4_Region_001_channels.zarr,JFx673-HTL,JF552-HTL,DAPI,Nodose ganglia,Longitudinal section through long axis,Mouse,MECP2.HaloTag 2D6,M,,20250530,TissueGnostics TGXS Slide Scanner (upright),Widefield,20x,"Lumencor Spectra X LED light engine with DAPI BP filter: 390/22, Cy3 BP filter: 542/33, and Cy5 BP filter: 648/28","DAPI: FF02-447/60, Cy3: FF01-593/40, Cy5: FF01-692/40 ",DAPI,,JF552-HTL,JFx673-HTL,Widefield image using a 20x objective of a 50um longitudinal cryosection of the nodose ganglia from a MECP2.HaloTag 2D6 transgenic mouse pulsed using retro-orbital injection with JFx673-HTL then perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. 
JFx673_Pancreas_20250530_Slide_5_of_4_Region_003_channels.zarr,JFx673-HTL,JF552-HTL,DAPI,Pancreas,Medial cross section through long axis,Mouse,MECP2.HaloTag 2D6,M,,20250530,TissueGnostics TGXS Slide Scanner (upright),Widefield,20x,"Lumencor Spectra X LED light engine with DAPI BP filter: 390/22, Cy3 BP filter: 542/33, and Cy5 BP filter: 648/28","DAPI: FF02-447/60, Cy3: FF01-593/40, Cy5: FF01-692/40 ",DAPI,,JF552-HTL,JFx673-HTL,Widefield image using a 20x objective of a 50um medial cross (cryo)section of the pancreas from a MECP2.HaloTag 2D6 transgenic mouse pulsed using retro-orbital injection with JFx673-HTL then perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. 
JFx673_Salivarygland_20250530_Slide_6_of_3_Region_004_channels.zarr,JFx673-HTL,JF552-HTL,DAPI,Salivary gland,Longitudinal section capturing sublingual and submandibular glands,Mouse,MECP2.HaloTag 2D6,M,,20250530,TissueGnostics TGXS Slide Scanner (upright),Widefield,20x,"Lumencor Spectra X LED light engine with DAPI BP filter: 390/22, Cy3 BP filter: 542/33, and Cy5 BP filter: 648/28","DAPI: FF02-447/60, Cy3: FF01-593/40, Cy5: FF01-692/40 ",DAPI,,JF552-HTL,JFx673-HTL,"Widefield image using a 20x objective of a 50um longitudinal cryosection of the sublingual, submandibular, and parotid glands from a MECP2.HaloTag 2D6 transgenic mouse pulsed using retro-orbital injection with JFx673-HTL then perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. "
JFx673_Spinalcord_20250530_Slide_7_of_3_Region_002_channels.zarr,JFx673-HTL,JF552-HTL,DAPI,Spinal cord,"Cross section of cervical, thoracic, and lumbar",Mouse,MECP2.HaloTag 2D6,M,,20250530,TissueGnostics TGXS Slide Scanner (upright),Widefield,20x,"Lumencor Spectra X LED light engine with DAPI BP filter: 390/22, Cy3 BP filter: 542/33, and Cy5 BP filter: 648/28","DAPI: FF02-447/60, Cy3: FF01-593/40, Cy5: FF01-692/40 ",DAPI,,JF552-HTL,JFx673-HTL,"Widefield image using a 20x objective of a 50um cross (cryo)section of the cervical, thoracic and lumbar spinal cord from a MECP2.HaloTag 2D6 transgenic mouse pulsed using retro-orbital injection with JFx673-HTL then perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. "
SiR650_Brain_20250530_Slide_1_of_3_Region_003_channels.zarr,SiR650-HTL,JF552-HTL,DAPI,Brain,Sagittal section of right hemisphere ,Mouse,MECP2.HaloTag 2D6,M,,20250530,TissueGnostics TGXS Slide Scanner (upright),Widefield,20x,"Lumencor Spectra X LED light engine with DAPI BP filter: 390/22, Cy3 BP filter: 542/33, and Cy5 BP filter: 648/28","DAPI: FF02-447/60, Cy3: FF01-593/40, Cy5: FF01-692/40 ",DAPI,,JF552-HTL,SiR650-HTL,Widefield image using a 20x objective of a 100um saggital cryosection of a brain from a MECP2.HaloTag 2D6 transgenic mouse pulsed using retro-orbital injection with SiR650-HTL then perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. 
SiR650_Celiacganglia_20250530_Slide_4_of_3_Region_003_channels.zarr,SiR650-HTL,JF552-HTL,DAPI,Celiac ganglia,Transverse section,Mouse,MECP2.HaloTag 2D6,M,,20250530,TissueGnostics TGXS Slide Scanner (upright),Widefield,20x,"Lumencor Spectra X LED light engine with DAPI BP filter: 390/22, Cy3 BP filter: 542/33, and Cy5 BP filter: 648/28","DAPI: FF02-447/60, Cy3: FF01-593/40, Cy5: FF01-692/40 ",DAPI,,JF552-HTL,SiR650-HTL,Widefield image using a 20x objective of a 50um transverse cryosection of the celiac ganglia from a MECP2.HaloTag 2D6 transgenic mouse pulsed using retro-orbital injection with SiR650-HTL then perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. 
SiR650_Liver_20250530_Slide_2_of_4_Region_002_channels.zarr,SiR650-HTL,JF552-HTL,DAPI,Liver,Cross section of left lobe,Mouse,MECP2.HaloTag 2D6,M,,20250530,TissueGnostics TGXS Slide Scanner (upright),Widefield,20x,"Lumencor Spectra X LED light engine with DAPI BP filter: 390/22, Cy3 BP filter: 542/33, and Cy5 BP filter: 648/28","DAPI: FF02-447/60, Cy3: FF01-593/40, Cy5: FF01-692/40 ",DAPI,,JF552-HTL,SiR650-HTL,Widefield image using a 20x objective of a 50um cross (cryo)section of the liver from a MECP2.HaloTag 2D6 transgenic mouse pulsed using retro-orbital injection with SiR650-HTL then perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. 
SiR650_Lung_20250530_Slide_3_of_4_Region_006_channels.zarr,SiR650-HTL,JF552-HTL,DAPI,Lung,Cross section including bronchi ~3mm deep into the lung,Mouse,MECP2.HaloTag 2D6,M,,20250530,TissueGnostics TGXS Slide Scanner (upright),Widefield,20x,"Lumencor Spectra X LED light engine with DAPI BP filter: 390/22, Cy3 BP filter: 542/33, and Cy5 BP filter: 648/28","DAPI: FF02-447/60, Cy3: FF01-593/40, Cy5: FF01-692/40 ",DAPI,,JF552-HTL,SiR650-HTL,Widefield image using a 20x objective of a 50um cross (cryo)section of the lung including bronchi from a MECP2.HaloTag 2D6 transgenic mouse pulsed using retro-orbital injection with SiR650-HTL then perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. 
SiR650_Nodoseganglia_20250530_Slide_4_of_4_Region_002_channels.zarr,SiR650-HTL,JF552-HTL,DAPI,Nodose ganglia,Longitudinal section through long axis,Mouse,MECP2.HaloTag 2D6,M,,20250530,TissueGnostics TGXS Slide Scanner (upright),Widefield,20x,"Lumencor Spectra X LED light engine with DAPI BP filter: 390/22, Cy3 BP filter: 542/33, and Cy5 BP filter: 648/28","DAPI: FF02-447/60, Cy3: FF01-593/40, Cy5: FF01-692/40 ",DAPI,,JF552-HTL,SiR650-HTL,Widefield image using a 20x objective of a 50um longitudinal cryosection of the nodose ganglia from a MECP2.HaloTag 2D6 transgenic mouse pulsed using retro-orbital injection with SiR650-HTL then perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. 
SiR650_Pancreas_20250530_Slide_1_of_4_Region_002_channels.zarr,SiR650-HTL,JF552-HTL,DAPI,Pancreas,Medial cross section through long axis,Mouse,MECP2.HaloTag 2D6,M,,20250530,TissueGnostics TGXS Slide Scanner (upright),Widefield,20x,"Lumencor Spectra X LED light engine with DAPI BP filter: 390/22, Cy3 BP filter: 542/33, and Cy5 BP filter: 648/28","DAPI: FF02-447/60, Cy3: FF01-593/40, Cy5: FF01-692/40 ",DAPI,,JF552-HTL,SiR650-HTL,Widefield image using a 20x objective of a 50um medial cross (cryo)section of the pancreas from a MECP2.HaloTag 2D6 transgenic mouse pulsed using retro-orbital injection with SiR650-HTL then perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. 
SiR650_Salivarygland_20250530_Slide_2_of_3_Region_001_channels.zarr,SiR650-HTL,JF552-HTL,DAPI,Salivary gland,Longitudinal section capturing sublingual and submandibular glands,Mouse,MECP2.HaloTag 2D6,M,,20250530,TissueGnostics TGXS Slide Scanner (upright),Widefield,20x,"Lumencor Spectra X LED light engine with DAPI BP filter: 390/22, Cy3 BP filter: 542/33, and Cy5 BP filter: 648/28","DAPI: FF02-447/60, Cy3: FF01-593/40, Cy5: FF01-692/40 ",DAPI,,JF552-HTL,SiR650-HTL,"Widefield image using a 20x objective of a 50um longitudinal cryosection of the sublingual, submandibular, and parotid glands from a MECP2.HaloTag 2D6 transgenic mouse pulsed using retro-orbital injection with SiR650-HTL then perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. "
SiR650_Spinalcord_20250530_Slide_3_of_3_Region_001_channels.zarr,SiR650-HTL,JF552-HTL,DAPI,Spinal cord,"Cross section of cervical, thoracic, and lumbar",Mouse,MECP2.HaloTag 2D6,M,,20250530,TissueGnostics TGXS Slide Scanner (upright),Widefield,20x,"Lumencor Spectra X LED light engine with DAPI BP filter: 390/22, Cy3 BP filter: 542/33, and Cy5 BP filter: 648/28","DAPI: FF02-447/60, Cy3: FF01-593/40, Cy5: FF01-692/40 ",DAPI,,JF552-HTL,SiR650-HTL,"Widefield image using a 20x objective of a 50um cross (cryo)section of the cervical, thoracic and lumbar spinal cord from a MECP2.HaloTag 2D6 transgenic mouse pulsed using retro-orbital injection with SiR650-HTL then perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. "
FSiRhQ_Brain_20250829_Slide_3_of_2_Region_005_channels.zarr,FSiRhQ-HTL,JF552-HTL,DAPI,Brain,Sagittal section of right hemisphere ,Mouse,C57BL/6J,F,AAV-PHP.eB.hSyn.H2B.Halo.sfGFP,20250829,TissueGnostics TGXS Slide Scanner (upright),Spinning disk confocal,20x,"Lumencor Celesta solid-state laser light engine  DAPI: 405nm, FITC: 477nm, Cy3: 546nm, and Cy5: 638nm","DAPI: ET440/40x, FITC: FF01-512/25-25, Cy3: FF01-595/31-25, Cy5: FF02-685/40-25",DAPI,sfGFP,JF552-HTL,FSiRhQ-HTL,"Spinning disk confocal image using a 20x objective of a 100um saggital section of a brain from a C57BL/6J mouse transduced with 5e11 GC/mL of AAV-PHP.eB.hSyn.H2B.Halo.sfGFP by retro-orbital (RO) injection, pulsed with FSiRhQ-HTL by RO injection 2 weeks post-transduction and perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. "
JF635_Brain_20250829_Slide_5_of_1_Region_006_channels.zarr,JF635-HTL,JF552-HTL,DAPI,Brain,Sagittal section of right hemisphere ,Mouse,C57BL/6J,M,AAV-PHP.eB.hSyn.H2B.Halo.sfGFP,20250829,TissueGnostics TGXS Slide Scanner (upright),Spinning disk confocal,20x,"Lumencor Celesta solid-state laser light engine  DAPI: 405nm, FITC: 477nm, Cy3: 546nm, and Cy5: 638nm","DAPI: ET440/40x, FITC: FF01-512/25-25, Cy3: FF01-595/31-25, Cy5: FF02-685/40-26",DAPI,sfGFP,JF552-HTL,JF635-HTL,"Spinning disk confocal image using a 20x objective of a 100um saggital section of a brain from a C57BL/6J mouse transduced with 5e11 GC/mL of AAV-PHP.eB.hSyn.H2B.Halo.sfGFP by retro-orbital (RO) injection, pulsed with JF635-HTL by RO injection 2 weeks post-transduction and perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. "
JF646_Brain_20250829_Slide_5_of_2_Region_005_channels.zarr,JF646-HTL,JF552-HTL,DAPI,Brain,Sagittal section of right hemisphere ,Mouse,C57BL/6J,F,AAV-PHP.eB.hSyn.H2B.Halo.sfGFP,20250829,TissueGnostics TGXS Slide Scanner (upright),Spinning disk confocal,20x,"Lumencor Celesta solid-state laser light engine  DAPI: 405nm, FITC: 477nm, Cy3: 546nm, and Cy5: 638nm","DAPI: ET440/40x, FITC: FF01-512/25-25, Cy3: FF01-595/31-25, Cy5: FF02-685/40-27",DAPI,sfGFP,JF552-HTL,JF646-HTL,"Spinning disk confocal image using a 20x objective of a 100um saggital section of a brain from a C57BL/6J mouse transduced with 5e11 GC/mL of AAV-PHP.eB.hSyn.H2B.Halo.sfGFP by retro-orbital (RO) injection, pulsed with JF646-HTL by RO injection 2 weeks post-transduction and perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. "
JF657_Brain_20250829_Slide_4_of_1_Region_005_channels.zarr,JF657-HTL,JF552-HTL,DAPI,Brain,Sagittal section of right hemisphere ,Mouse,C57BL/6J,M,AAV-PHP.eB.hSyn.H2B.Halo.sfGFP,20250829,TissueGnostics TGXS Slide Scanner (upright),Spinning disk confocal,20x,"Lumencor Celesta solid-state laser light engine  DAPI: 405nm, FITC: 477nm, Cy3: 546nm, and Cy5: 638nm","DAPI: ET440/40x, FITC: FF01-512/25-25, Cy3: FF01-595/31-25, Cy5: FF02-685/40-28",DAPI,sfGFP,JF552-HTL,JF657-HTL,"Spinning disk confocal image using a 20x objective of a 100um saggital section of a brain from a C57BL/6J mouse transduced with 5e11 GC/mL of AAV-PHP.eB.hSyn.H2B.Halo.sfGFP by retro-orbital (RO) injection, pulsed with JF657-HTL by RO injection 2 weeks post-transduction and perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. "
JF698_Brain_20250829_Slide_8_of_1_Region_003_channels.zarr,JF698-HTL,JF552-HTL,DAPI,Brain,Sagittal section of right hemisphere ,Mouse,C57BL/6J,M,AAV-PHP.eB.hSyn.H2B.Halo.sfGFP,20250829,TissueGnostics TGXS Slide Scanner (upright),Spinning disk confocal,20x,"Lumencor Celesta solid-state laser light engine  DAPI: 405nm, FITC: 477nm, Cy3: 546nm, and Cy5: 638nm","DAPI: ET440/40x, FITC: FF01-512/25-25, Cy3: FF01-595/31-25, Cy5: FF02-685/40-29",DAPI,sfGFP,JF552-HTL,JF698-HTL,"Spinning disk confocal image using a 20x objective of a 100um saggital section of a brain from a C57BL/6J mouse transduced with 5e11 GC/mL of AAV-PHP.eB.hSyn.H2B.Halo.sfGFP by retro-orbital (RO) injection, pulsed with JF698-HTL by RO injection 2 weeks post-transduction and perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. "
JF722_Brain_20250829_Slide_7_of_2_Region_005_channels.zarr,JF722-HTL,JF552-HTL,DAPI,Brain,Sagittal section of right hemisphere ,Mouse,C57BL/6J,M,AAV-PHP.eB.hSyn.H2B.Halo.sfGFP,20250829,TissueGnostics TGXS Slide Scanner (upright),Spinning disk confocal,20x,"Lumencor Celesta solid-state laser light engine  DAPI: 405nm, FITC: 477nm, Cy3: 546nm, and Cy5: 638nm","DAPI: ET440/40x, FITC: FF01-512/25-25, Cy3: FF01-595/31-25, Cy5: FF02-685/40-30",DAPI,sfGFP,JF552-HTL,JF722-HTL,"Spinning disk confocal image using a 20x objective of a 100um saggital section of a brain from a C57BL/6J mouse transduced with 5e11 GC/mL of AAV-PHP.eB.hSyn.H2B.Halo.sfGFP by retro-orbital (RO) injection, pulsed with JF722-HTL by RO injection 2 weeks post-transduction and perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. "
JFx650_Brain_20250829_Slide_3_of_1_Region_006_channels.zarr,JFx650-HTL,JF552-HTL,DAPI,Brain,Sagittal section of right hemisphere ,Mouse,C57BL/6J,F,AAV-PHP.eB.hSyn.H2B.Halo.sfGFP,20250829,TissueGnostics TGXS Slide Scanner (upright),Spinning disk confocal,20x,"Lumencor Celesta solid-state laser light engine  DAPI: 405nm, FITC: 477nm, Cy3: 546nm, and Cy5: 638nm","DAPI: ET440/40x, FITC: FF01-512/25-25, Cy3: FF01-595/31-25, Cy5: FF02-685/40-31",DAPI,sfGFP,JF552-HTL,JFx650-HTL,"Spinning disk confocal image using a 20x objective of a 100um saggital section of a brain from a C57BL/6J mouse transduced with 5e11 GC/mL of AAV-PHP.eB.hSyn.H2B.Halo.sfGFP by retro-orbital (RO) injection, pulsed with JFx650-HTL by RO injection 2 weeks post-transduction and perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. "
JFx673_Brain_20250829_Slide_1_of_1_Region_005_channels.zarr,JFx673-HTL,JF552-HTL,DAPI,Brain,Sagittal section of right hemisphere ,Mouse,C57BL/6J,M,AAV-PHP.eB.hSyn.H2B.Halo.sfGFP,20250829,TissueGnostics TGXS Slide Scanner (upright),Spinning disk confocal,20x,"Lumencor Celesta solid-state laser light engine  DAPI: 405nm, FITC: 477nm, Cy3: 546nm, and Cy5: 638nm","DAPI: ET440/40x, FITC: FF01-512/25-25, Cy3: FF01-595/31-25, Cy5: FF02-685/40-32",DAPI,sfGFP,JF552-HTL,JFx673-HTL,"Spinning disk confocal image using a 20x objective of a 100um saggital section of a brain from a C57BL/6J mouse transduced with 5e11 GC/mL of AAV-PHP.eB.hSyn.H2B.Halo.sfGFP by retro-orbital (RO) injection, pulsed with JFx673-HTL by RO injection 2 weeks post-transduction and perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. "
SHAM_Brain_20250829_Slide_6_of_1_Region_005_channels.zarr,SHAM,JF552-HTL,DAPI,Brain,Sagittal section of right hemisphere ,Mouse,C57BL/6J,F,AAV-PHP.eB.hSyn.H2B.Halo.sfGFP,20250829,TissueGnostics TGXS Slide Scanner (upright),Spinning disk confocal,20x,"Lumencor Celesta solid-state laser light engine  DAPI: 405nm, FITC: 477nm, Cy3: 546nm, and Cy5: 638nm","DAPI: ET440/40x, FITC: FF01-512/25-25, Cy3: FF01-595/31-25, Cy5: FF02-685/40-33",DAPI,sfGFP,JF552-HTL,SHAM,"Spinning disk confocal image using a 20x objective of a 100um saggital section of a brain from a C57BL/6J mouse transduced with 5e11 GC/mL of AAV-PHP.eB.hSyn.H2B.Halo.sfGFP by retro-orbital (RO) injection, pulsed with a SHAM RO injection 2 weeks post-transduction and perfused 4hrs later with 4% PFA in 0.1M PB containing JF552-HTL as the chase dye. "
